Symbol,Date,Research Development,Effect Of Accounting Charges,Income Before Tax,Minority Interest,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Other Operating Expenses,Interest Expense,Extraordinary Items,Non Recurring,Other Items,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Discontinued Operations,Net Income From Continuing Ops,Net Income Applicable To Common Shares,Close,Volume,Research Development_lag_1,Research Development_lag_2,Effect Of Accounting Charges_lag_1,Effect Of Accounting Charges_lag_2,Income Before Tax_lag_1,Income Before Tax_lag_2,Minority Interest_lag_1,Minority Interest_lag_2,Net Income_lag_1,Net Income_lag_2,Selling General Administrative_lag_1,Selling General Administrative_lag_2,Gross Profit_lag_1,Gross Profit_lag_2,Ebit_lag_1,Ebit_lag_2,Operating Income_lag_1,Operating Income_lag_2,Other Operating Expenses_lag_1,Other Operating Expenses_lag_2,Interest Expense_lag_1,Interest Expense_lag_2,Extraordinary Items_lag_1,Extraordinary Items_lag_2,Non Recurring_lag_1,Non Recurring_lag_2,Other Items_lag_1,Other Items_lag_2,Income Tax Expense_lag_1,Income Tax Expense_lag_2,Total Revenue_lag_1,Total Revenue_lag_2,Total Operating Expenses_lag_1,Total Operating Expenses_lag_2,Cost Of Revenue_lag_1,Cost Of Revenue_lag_2,Total Other Income Expense Net_lag_1,Total Other Income Expense Net_lag_2,Discontinued Operations_lag_1,Discontinued Operations_lag_2,Net Income From Continuing Ops_lag_1,Net Income From Continuing Ops_lag_2,Net Income Applicable To Common Shares_lag_1,Net Income Applicable To Common Shares_lag_2,Close_lag_1,Close_lag_2,Volume_lag_1,Volume_lag_2,FutureDirection
AAME,2020-12-31,0.0,0,15503000.0,0.0,12169000.0,0.0,28661000.0,17113000.0,17113000.0,11548000.0,-1610000.0,0,0,0,3334000.0,195348000.0,178235000.0,166687000.0,-1610000.0,0.0,12169000.0,11770000.0,2.038038969039917,7800.0,0.0,0.0,0.0,0.0,-407000.0,-971000.0,0.0,0.0,-386000.0,-704000.0,0.0,0.0,13477000.0,13861000.0,1723000.0,1066000.0,1723000.0,1066000.0,11754000.0,12795000.0,-2130000.0,-2037000.0,0.0,0.0,0.0,0.0,0.0,0.0,-21000.0,-267000.0,198179000.0,185553000.0,196456000.0,184487000.0,184702000.0,171692000.0,-2130000.0,-2037000.0,0.0,0.0,-386000.0,-704000.0,-785000.0,-1103000.0,1.9489983320236206,2.365384817123413,3400.0,5900.0,1.1955309654539488
AAOI,2020-12-31,43393000.0,0,-51224000.0,0.0,-58452000.0,55990000.0,50541000.0,-48842000.0,-48842000.0,0.0,-5635000.0,0,0,0,7228000.0,234623000.0,283465000.0,184082000.0,-2382000.0,0.0,-58452000.0,-58452000.0,8.510000228881836,638400.0,43399000.0,49903000.0,0.0,0.0,-51387000.0,-9778000.0,0.0,0.0,-66049000.0,-2146000.0,51549000.0,48638000.0,46201000.0,87773000.0,-48747000.0,-10768000.0,-48747000.0,-10768000.0,0.0,0.0,-5405000.0,-1106000.0,0.0,0.0,0.0,0.0,0.0,0.0,14662000.0,-7632000.0,190872000.0,267465000.0,239619000.0,278233000.0,144671000.0,179692000.0,-2640000.0,990000.0,0.0,0.0,-66049000.0,-2146000.0,-66049000.0,-2146000.0,11.880000114440918,15.430000305175781,559800.0,774100.0,0.6039952677135194
AAON,2020-12-31,0.0,0,101975000.0,0.0,79009000.0,56377000.0,155849000.0,97473000.0,97473000.0,0.0,-132000.0,0,0,0,22966000.0,514551000.0,417078000.0,358702000.0,4502000.0,0.0,79009000.0,79009000.0,66.27843475341797,172900.0,0.0,0.0,0.0,0.0,67031000.0,55500000.0,0.0,0.0,53711000.0,42329000.0,49416000.0,46137000.0,119425000.0,103533000.0,68485000.0,56272000.0,68485000.0,56272000.0,0.0,0.0,-132000.0,-132000.0,0.0,0.0,0.0,0.0,0.0,0.0,13320000.0,13171000.0,469333000.0,433947000.0,400848000.0,377675000.0,349908000.0,330414000.0,-1454000.0,-772000.0,0.0,0.0,53711000.0,42329000.0,53711000.0,42329000.0,48.83791732788086,34.42310333251953,178900.0,154800.0,1.1984290305087446
AAPL,2020-09-26,18752000000.0,0,67091000000.0,0.0,57411000000.0,19916000000.0,104956000000.0,66288000000.0,66288000000.0,0.0,-2873000000.0,0,0,0,9680000000.0,274515000000.0,208227000000.0,169559000000.0,803000000.0,0.0,57411000000.0,57411000000.0,111.25811767578125,149981400.0,16217000000.0,14236000000.0,0.0,0.0,65737000000.0,72903000000.0,0.0,0.0,55256000000.0,59531000000.0,18245000000.0,16705000000.0,98392000000.0,101839000000.0,63930000000.0,70898000000.0,63930000000.0,70898000000.0,0.0,0.0,-3576000000.0,-3240000000.0,0.0,0.0,0.0,0.0,0.0,0.0,10481000000.0,13372000000.0,260174000000.0,265595000000.0,196244000000.0,194697000000.0,161782000000.0,163756000000.0,1807000000.0,2005000000.0,0.0,0.0,55256000000.0,59531000000.0,55256000000.0,59531000000.0,53.67457580566406,54.525856018066406,101408000.0,91717600.0,1.3169305204533772
AATC,2020-12-31,3336000.0,0,601000.0,0.0,1063000.0,6444000.0,10388000.0,608000.0,608000.0,0.0,-7000.0,0,0,0,-462000.0,13173000.0,12565000.0,2785000.0,-7000.0,0.0,1063000.0,1063000.0,4.205202102661133,584100.0,2836000.0,3284000.0,0.0,0.0,1830000.0,1852000.0,0.0,0.0,6995000.0,1862000.0,6935000.0,6495000.0,11603000.0,11775000.0,1832000.0,1996000.0,1832000.0,1996000.0,0.0,0.0,-7000.0,-7000.0,0.0,0.0,0.0,0.0,0.0,0.0,-5165000.0,-10000.0,14732000.0,14561000.0,12900000.0,12565000.0,3129000.0,2786000.0,-2000.0,-144000.0,0.0,0.0,6995000.0,1862000.0,6995000.0,1862000.0,4.252030849456787,4.214568614959717,2400.0,1500.0,1.4723033858460215
AAWW,2020-12-31,0.0,0,496742000.0,0.0,360286000.0,154792000.0,1092115000.0,506565000.0,506565000.0,216384000.0,-113710000.0,0,0,0,136456000.0,3211116000.0,2704551000.0,2119001000.0,-9823000.0,0.0,360286000.0,360286000.0,54.540000915527344,362500.0,0.0,0.0,0.0,0.0,-472758000.0,309374000.0,0.0,0.0,-293113000.0,270567000.0,189211000.0,166487000.0,842704000.0,874407000.0,186875000.0,295027000.0,186875000.0,295027000.0,215521000.0,195553000.0,-118056000.0,-114651000.0,0.0,0.0,0.0,0.0,0.0,0.0,-179645000.0,38727000.0,2739189000.0,2677724000.0,2552314000.0,2382697000.0,1896485000.0,1803317000.0,-659633000.0,14347000.0,0.0,-80000.0,-293113000.0,270647000.0,-293113000.0,270567000.0,27.56999969482422,42.189998626708984,210100.0,247400.0,1.7257059253144678
ABCB,2020-12-31,0.0,0,340244000.0,0.0,261988000.0,482662000.0,978316000.0,0.0,418688000.0,76966000.0,0.0,0,0,0,78256000.0,978316000.0,559628000.0,0.0,-78444000.0,0.0,261988000.0,261988000.0,37.50820541381836,260800.0,0.0,0.0,0.0,0.0,211584000.0,151490000.0,0.0,0.0,161441000.0,121027000.0,321608000.0,220605000.0,677766000.0,439637000.0,0.0,0.0,304553000.0,181291000.0,51605000.0,37741000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50143000.0,30463000.0,677766000.0,439637000.0,373213000.0,258346000.0,0.0,0.0,-92969000.0,-29801000.0,0.0,0.0,161441000.0,121027000.0,161441000.0,121027000.0,40.903045654296875,30.062528610229492,297500.0,389900.0,1.320220968088546
ABCM,2021-06-30,24800000.0,0,25400000.0,0.0,16200000.0,153400000.0,211800000.0,33600000.0,33600000.0,0.0,-3200000.0,0,0,0,9200000.0,297700000.0,264100000.0,85900000.0,-8200000.0,0.0,16200000.0,16200000.0,19.040000915527344,542800.0,27400000.0,23400000.0,0.0,0.0,31200000.0,8300000.0,0.0,0.0,25600000.0,12500000.0,143400000.0,125300000.0,209200000.0,180200000.0,38400000.0,31500000.0,38400000.0,31500000.0,0.0,0.0,-3800000.0,-2800000.0,0.0,0.0,0.0,0.0,0.0,0.0,5600000.0,-4200000.0,295000000.0,260000000.0,256600000.0,228500000.0,85800000.0,79800000.0,-7200000.0,-23200000.0,0.0,0.0,25600000.0,12500000.0,25600000.0,12500000.0,21.549999237060547,19.75,241500.0,2471300.0,1.2368696483546515
ABEO,2019-12-31,0.0,0,-76282000.0,0.0,-76282000.0,20705000.0,-48566000.0,-77090000.0,-77090000.0,0.0,-400000.0,0,0,0,0.0,0.0,77090000.0,48566000.0,808000.0,0.0,-76282000.0,-76282000.0,3.2699999809265137,1671400.0,0.0,16989000.0,0.0,0.0,-56671000.0,-27319000.0,0.0,0.0,-56671000.0,-27319000.0,20106000.0,10943000.0,-35700000.0,-16152000.0,-58166000.0,-27836000.0,-58166000.0,-27836000.0,0.0,0.0,-11000.0,-8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2998000.0,837000.0,61164000.0,28673000.0,38698000.0,16989000.0,1495000.0,964000.0,0.0,0.0,-56671000.0,-27319000.0,-56671000.0,-27319000.0,7.139999866485596,17.200000762939453,527700.0,641100.0,0.4801223429999065
ABIO,2020-12-31,4992000.0,0,-9747000.0,0.0,-9738000.0,4774000.0,0.0,-9766000.0,-9766000.0,0.0,-9000.0,0,0,0,-9000.0,0.0,9766000.0,0.0,19000.0,0.0,-9738000.0,-9738000.0,4.010000228881836,582200.0,1833000.0,4239000.0,0.0,0.0,-5649000.0,-7964000.0,0.0,0.0,-5482000.0,-7933000.0,3981000.0,3879000.0,0.0,0.0,-5814000.0,-8118000.0,-5814000.0,-8118000.0,0.0,0.0,-7000.0,-8000.0,0.0,0.0,0.0,0.0,0.0,0.0,-167000.0,-31000.0,0.0,0.0,5814000.0,8118000.0,0.0,0.0,165000.0,316000.0,0.0,0.0,-5482000.0,-7933000.0,-5482000.0,-7933000.0,5.710000038146973,5.940000057220459,38300.0,3406.0,0.536159594177117
