Symbol,Date,Research Development,Effect Of Accounting Charges,Income Before Tax,Minority Interest,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Other Operating Expenses,Interest Expense,Extraordinary Items,Non Recurring,Other Items,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Discontinued Operations,Net Income From Continuing Ops,Net Income Applicable To Common Shares,Close,Volume,Research Development_lag_1,Research Development_lag_2,Effect Of Accounting Charges_lag_1,Effect Of Accounting Charges_lag_2,Income Before Tax_lag_1,Income Before Tax_lag_2,Minority Interest_lag_1,Minority Interest_lag_2,Net Income_lag_1,Net Income_lag_2,Selling General Administrative_lag_1,Selling General Administrative_lag_2,Gross Profit_lag_1,Gross Profit_lag_2,Ebit_lag_1,Ebit_lag_2,Operating Income_lag_1,Operating Income_lag_2,Other Operating Expenses_lag_1,Other Operating Expenses_lag_2,Interest Expense_lag_1,Interest Expense_lag_2,Extraordinary Items_lag_1,Extraordinary Items_lag_2,Non Recurring_lag_1,Non Recurring_lag_2,Other Items_lag_1,Other Items_lag_2,Income Tax Expense_lag_1,Income Tax Expense_lag_2,Total Revenue_lag_1,Total Revenue_lag_2,Total Operating Expenses_lag_1,Total Operating Expenses_lag_2,Cost Of Revenue_lag_1,Cost Of Revenue_lag_2,Total Other Income Expense Net_lag_1,Total Other Income Expense Net_lag_2,Discontinued Operations_lag_1,Discontinued Operations_lag_2,Net Income From Continuing Ops_lag_1,Net Income From Continuing Ops_lag_2,Net Income Applicable To Common Shares_lag_1,Net Income Applicable To Common Shares_lag_2,Close_lag_1,Close_lag_2,Volume_lag_1,Volume_lag_2,FutureDirection
AAME,2019-12-31,0.0,0,-407000.0,0.0,-386000.0,0.0,13477000.0,1723000.0,1723000.0,11754000.0,-2130000.0,0,0,0,-21000.0,198179000.0,196456000.0,184702000.0,-2130000.0,0.0,-386000.0,-785000.0,1.9597662687301636,3400.0,0.0,0.0,0.0,0.0,15503000.0,5302000.0,0.0,0.0,12169000.0,4281000.0,0.0,0.0,28661000.0,20364000.0,17113000.0,6689000.0,17113000.0,6689000.0,11548000.0,13675000.0,-1610000.0,-1387000.0,0.0,0.0,0.0,0.0,0.0,0.0,3334000.0,1021000.0,195348000.0,199554000.0,178235000.0,192865000.0,166687000.0,179190000.0,-1610000.0,-1387000.0,0.0,0.0,12169000.0,4281000.0,11770000.0,3882000.0,2.0492987632751465,2.450000047683716,7800.0,190200.0,1.2136412860299064
AAOI,2019-12-31,43399000.0,0,-51387000.0,0.0,-66049000.0,51549000.0,46201000.0,-48747000.0,-48747000.0,0.0,-5405000.0,0,0,0,14662000.0,190872000.0,239619000.0,144671000.0,-2640000.0,0.0,-66049000.0,-66049000.0,11.880000114440918,559800.0,43393000.0,41220000.0,0.0,0.0,-51224000.0,-54160000.0,0.0,0.0,-58452000.0,-54162000.0,55990000.0,53261000.0,50541000.0,37715000.0,-48842000.0,-56766000.0,-48842000.0,-56766000.0,0.0,0.0,-5635000.0,-5620000.0,0.0,0.0,0.0,0.0,0.0,0.0,7228000.0,2000.0,234623000.0,211565000.0,283465000.0,268331000.0,184082000.0,173850000.0,-2382000.0,2606000.0,0.0,0.0,-58452000.0,-54162000.0,-58452000.0,-54162000.0,8.510000228881836,5.139999866485596,638400.0,618500.0,1.2988215619981018
AAON,2019-12-31,0.0,0,67031000.0,0.0,53711000.0,49416000.0,119425000.0,68485000.0,68485000.0,0.0,-132000.0,0,0,0,13320000.0,469333000.0,400848000.0,349908000.0,-1454000.0,0.0,53711000.0,53711000.0,48.83791732788086,178900.0,0.0,0.0,0.0,0.0,101975000.0,69182000.0,0.0,0.0,79009000.0,58758000.0,56377000.0,64936000.0,155849000.0,137830000.0,97473000.0,69970000.0,97473000.0,69970000.0,0.0,0.0,-132000.0,-132000.0,0.0,0.0,0.0,0.0,0.0,0.0,22966000.0,10424000.0,514551000.0,534517000.0,417078000.0,464547000.0,358702000.0,396687000.0,4502000.0,-788000.0,0.0,0.0,79009000.0,58758000.0,79009000.0,58758000.0,66.27843475341797,79.43000030517578,172900.0,118900.0,0.704843958246811
AAPL,2019-09-28,16217000000.0,0,65737000000.0,0.0,55256000000.0,18245000000.0,98392000000.0,63930000000.0,63930000000.0,0.0,-3576000000.0,0,0,0,10481000000.0,260174000000.0,196244000000.0,161782000000.0,1807000000.0,0.0,55256000000.0,55256000000.0,53.6745719909668,101408000.0,18752000000.0,21914000000.0,0.0,0.0,67091000000.0,109207000000.0,0.0,0.0,57411000000.0,94680000000.0,19916000000.0,21973000000.0,104956000000.0,152836000000.0,66288000000.0,108949000000.0,66288000000.0,108949000000.0,0.0,0.0,-2873000000.0,-2645000000.0,0.0,0.0,0.0,0.0,0.0,0.0,9680000000.0,14527000000.0,274515000000.0,365817000000.0,208227000000.0,256868000000.0,169559000000.0,212981000000.0,803000000.0,258000000.0,0.0,0.0,57411000000.0,94680000000.0,57411000000.0,94680000000.0,111.25811767578125,146.5192108154297,149981400.0,53477900.0,1.015860241170389
AATC,2019-12-31,2836000.0,0,1830000.0,0.0,6995000.0,6935000.0,11603000.0,1832000.0,1832000.0,0.0,-7000.0,0,0,0,-5165000.0,14732000.0,12900000.0,3129000.0,-2000.0,0.0,6995000.0,6995000.0,4.252031326293945,2400.0,3336000.0,2214000.0,0.0,0.0,601000.0,3200000.0,0.0,0.0,1063000.0,2295000.0,6444000.0,5748000.0,10388000.0,10235000.0,608000.0,2273000.0,608000.0,2273000.0,0.0,0.0,-7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-462000.0,905000.0,13173000.0,13242000.0,12565000.0,10969000.0,2785000.0,3007000.0,-7000.0,927000.0,0.0,0.0,1063000.0,2295000.0,1063000.0,2295000.0,4.205201625823975,6.191333293914795,584100.0,13400.0,0.9911893433287474
AAWW,2019-12-31,0.0,0,-472758000.0,0.0,-293113000.0,189211000.0,842704000.0,186875000.0,186875000.0,215521000.0,-118056000.0,0,0,0,-179645000.0,2739189000.0,2552314000.0,1896485000.0,-659633000.0,0.0,-293113000.0,-293113000.0,27.56999969482422,210100.0,0.0,0.0,0.0,0.0,496742000.0,647391000.0,0.0,0.0,360286000.0,493317000.0,154792000.0,162986000.0,1092115000.0,1351091000.0,506565000.0,711501000.0,506565000.0,711501000.0,216384000.0,244461000.0,-113710000.0,-99176000.0,0.0,0.0,0.0,0.0,0.0,0.0,136456000.0,154074000.0,3211116000.0,4030829000.0,2704551000.0,3319328000.0,2119001000.0,2679738000.0,-9823000.0,-64110000.0,0.0,0.0,360286000.0,493317000.0,360286000.0,493317000.0,54.540000915527344,94.12000274658203,362500.0,242900.0,1.5302865104720844
ABCB,2019-12-31,0.0,0,211584000.0,0.0,161441000.0,321608000.0,677766000.0,0.0,304553000.0,51605000.0,0.0,0,0,0,50143000.0,677766000.0,373213000.0,0.0,-92969000.0,0.0,161441000.0,161441000.0,40.903045654296875,297500.0,0.0,0.0,0.0,0.0,340244000.0,496112000.0,0.0,0.0,261988000.0,376913000.0,482662000.0,452172000.0,978316000.0,1041196000.0,0.0,0.0,418688000.0,506367000.0,76966000.0,82657000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78256000.0,119199000.0,978316000.0,1041196000.0,559628000.0,534829000.0,0.0,0.0,-78444000.0,-10255000.0,0.0,0.0,261988000.0,376913000.0,261988000.0,376913000.0,37.508201599121094,49.51911926269531,260800.0,209200.0,0.7349704658098009
ABCM,2020-12-31,27400000.0,0,31200000.0,0.0,25600000.0,143400000.0,209200000.0,38400000.0,38400000.0,0.0,-3800000.0,0,0,0,5600000.0,295000000.0,256600000.0,85800000.0,-7200000.0,0.0,25600000.0,25600000.0,21.549999237060547,241500.0,24800000.0,23600000.0,0.0,0.0,25400000.0,4700000.0,0.0,0.0,16200000.0,4400000.0,153400000.0,157100000.0,211800000.0,227700000.0,33600000.0,47000000.0,33600000.0,47000000.0,0.0,0.0,-3200000.0,-2700000.0,0.0,0.0,0.0,0.0,0.0,0.0,9200000.0,300000.0,297700000.0,315400000.0,264100000.0,268400000.0,85900000.0,87700000.0,-8200000.0,-42300000.0,0.0,0.0,16200000.0,4400000.0,16200000.0,4400000.0,19.040000915527344,23.549999237060547,542800.0,64900.0,0.9164733503115395
ABEO,2018-12-31,0.0,0,-56671000.0,0.0,-56671000.0,20106000.0,-35700000.0,-58166000.0,-58166000.0,0.0,-11000.0,0,0,0,0.0,2998000.0,61164000.0,38698000.0,1495000.0,0.0,-56671000.0,-56671000.0,7.139999866485596,527700.0,0.0,0.0,0.0,0.0,-76282000.0,-84234000.0,0.0,0.0,-76282000.0,-84234000.0,20705000.0,23779000.0,-48566000.0,-20139000.0,-77090000.0,-48504000.0,-77090000.0,-48504000.0,0.0,0.0,-400000.0,-615000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,77090000.0,58504000.0,48566000.0,30139000.0,808000.0,-35730000.0,0.0,0.0,-76282000.0,-84234000.0,-76282000.0,-84234000.0,3.2699999809265137,1.5700000524520874,1671400.0,1036100.0,2.4089637373348474
ABIO,2019-12-31,1833000.0,0,-5649000.0,0.0,-5482000.0,3981000.0,0.0,-5814000.0,-5814000.0,0.0,-7000.0,0,0,0,-167000.0,0.0,5814000.0,0.0,165000.0,0.0,-5482000.0,-5482000.0,5.710000038146973,38300.0,4992000.0,13832000.0,0.0,0.0,-9747000.0,-19322000.0,0.0,0.0,-9738000.0,-19322000.0,4774000.0,5503000.0,0.0,0.0,-9766000.0,-19335000.0,-9766000.0,-19335000.0,0.0,0.0,-9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9000.0,0.0,0.0,0.0,9766000.0,19335000.0,0.0,0.0,19000.0,13000.0,0.0,0.0,-9738000.0,-19322000.0,-9738000.0,-19322000.0,4.010000228881836,2.1500000953674316,582200.0,283000.0,1.0402802132288824
